Column1,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Viability (%),Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Element,Ionic radius
1,Ag,28.41,-33.33,HeLa,Yes,3.66,0.00,L,human,Epithelial,Adult,cervix,72.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
2,Ag,28.41,-33.33,HeLa,Yes,48.48,0.00,L,human,Epithelial,Adult,cervix,48.00,NR,toluylene red,107.87,1.93,Ag,1.09
3,Ag,28.41,-33.33,HeLa,Yes,65.96,0.00,L,human,Epithelial,Adult,cervix,24.00,NR,toluylene red,107.87,1.93,Ag,1.09
4,Ag,28.41,-33.33,HaCat,No,23.71,0.00,L,human,Keratinocyte,Adult,skin,48.00,NR,toluylene red,107.87,1.93,Ag,1.09
5,Ag,28.41,-33.33,HaCat,No,20.52,0.00,L,human,Keratinocyte,Adult,skin,72.00,NR,toluylene red,107.87,1.93,Ag,1.09
6,Ag,28.41,-33.33,HaCat,No,21.89,0.00,L,human,Keratinocyte,Adult,skin,48.00,NR,toluylene red,107.87,1.93,Ag,1.09
7,Ag,28.41,-33.33,HaCat,No,3.99,0.00,L,human,Keratinocyte,Adult,skin,72.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
8,Ag,28.41,-33.33,HeLa,Yes,18.31,0.00,L,human,Epithelial,Adult,cervix,24.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
9,Ag,28.41,-33.33,HeLa,Yes,32.08,0.00,L,human,Epithelial,Adult,cervix,24.00,AlamarBlue,AlamarBlue,107.87,1.93,Ag,1.09
10,Ag,28.41,-33.33,HaCat,No,11.56,0.00,L,human,Keratinocyte,Adult,skin,24.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
11,Ag,28.41,-33.33,HaCat,No,6.78,0.00,L,human,Keratinocyte,Adult,skin,72.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
12,Ag,28.41,-33.33,HaCat,No,5.98,0.00,L,human,Keratinocyte,Adult,skin,48.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
13,Ag,28.41,-33.33,HaCat,No,9.57,0.00,L,human,Keratinocyte,Adult,skin,24.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
14,Ag,28.41,-33.33,HaCat,No,4.39,0.00,L,human,Keratinocyte,Adult,skin,72.00,MTT,TetrazoliumSalt,107.87,1.93,Ag,1.09
